time,V_actual,alpha_actual,q_actual,beta_actual,p_actual,r_actual,V_cmd,alpha_cmd,q_cmd,beta_cmd,p_cmd,r_cmd,throttle_cmd,elevator_cmd,aileron_cmd,rudder_cmd,throttle_actual,elevator_actual,aileron_actual,rudder_actual
0.0000,400.0001,0.000000,0.000000,0.000000,0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,-0.0850,-0.0000,-0.0000,0.6661,-0.0850,-0.0000,-0.0000
0.0040,400.0086,0.000146,0.000803,0.000000,-0.000000,0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,-0.0850,-0.0000,-0.0000,0.6661,-0.1184,-0.0000,-0.0000
0.0080,400.0167,0.000313,0.002096,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,-0.0850,-0.0000,-0.0000,0.6661,-0.1517,-0.0000,0.0000
0.0120,400.0245,0.000492,0.003827,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,-0.0451,0.0000,-0.0000,0.6661,-0.1701,-0.0000,0.0000
0.0160,400.0322,0.000680,0.005780,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,-0.0451,0.0000,-0.0000,0.6661,-0.1368,0.0000,-0.0000
0.0200,400.0404,0.000860,0.007220,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,-0.0451,0.0000,-0.0000,0.6661,-0.1302,0.0000,-0.0000
0.0240,400.0485,0.001048,0.008562,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,-0.0156,0.0000,-0.0000,0.6661,-0.1302,0.0000,-0.0000
0.0280,400.0565,0.001241,0.009886,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,-0.0156,0.0000,-0.0000,0.6661,-0.1006,0.0000,-0.0000
0.0320,400.0648,0.001427,0.010768,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,-0.0156,0.0000,-0.0000,0.6661,-0.1006,0.0000,-0.0000
0.0360,400.0731,0.001620,0.011651,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0062,0.0000,-0.0000,0.6661,-0.1006,0.0000,-0.0000
